,SN,z_helio,z_helio_err,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,T0_err,AV,AV_err,theta,theta_err
145,SN2017cjv,0.05952999999999999,0.00014,0.06076,0.00014,37.07826,0.01856,36.95641,0.11664000000000001,10.636,0.02597,57840.78,0.37,0.03578,0.03088,1.60893,0.27537
146,SN2017ckx,0.027160000000000004,1e-05,0.0282,1e-05,35.35901,0.03851,35.3713,0.11885,10.482000000000001,0.029411400000000004,57847.2,0.43,0.23968000000000003,0.06624,-1.1308,0.21791999999999997
147,SN2017coa,0.04,0.003,0.04092,0.003,36.1882,0.16139,36.35106,0.11965,7.575,0.0556855,57848.65,0.49,0.17432999999999998,0.06752000000000001,-0.80497,0.21358000000000002
148,SN2017cpu,0.0544,1e-05,0.05499,1e-05,36.852470000000004,0.01975,36.702020000000005,0.11119000000000001,10.709000000000001,0.023768900000000003,57847.53,0.82,0.036860000000000004,0.03175,-0.87508,0.25138
149,SN2017hn,0.02385,1e-05,0.02507,1e-05,35.09837,0.04332,35.06367,0.11867,10.577,0.0283978,57768.27,0.44,0.10443,0.05439,-0.58439,0.16707
150,SN2017jl,0.01633,0.00044,0.01592,0.00044,34.09707,0.09085,33.877,0.11562,9.155,0.06320049999999999,57784.8,0.26,0.15319000000000002,0.05761,-0.8215100000000001,0.18291
151,SN2017mf,0.02561,1e-05,0.025769999999999998,1e-05,35.15933,0.04214,35.192820000000005,0.12658,11.077,0.00942173,57778.42,0.52,0.2262,0.07073,-0.18939,0.18796
152,SN2017ms,0.024480000000000002,1e-05,0.0256,1e-05,35.14467,0.04242,35.2293,0.11531,9.415,0.00854963,57782.51,0.46,0.03734,0.03225,-0.94224,0.29872
153,iPTF16auf,0.015019999999999999,0.0,0.015319999999999999,0.0,34.01265,0.07087,34.06177,0.11485,9.067,0.013077200000000002,57537.61,0.23,0.31222,0.05946,-0.01168,0.14445
154,Gaia16bba,0.03046,9e-05,0.029789999999999997,9e-05,35.48073,0.03703,35.413759999999996,0.12272999999999999,8.651,0.040005599999999995,57625.65,1.1,0.12014000000000001,0.07263,-0.48731,0.20765
155,PSNJ2352371,0.02648,1e-05,0.026019999999999998,1e-05,35.1807,0.04174,35.253029999999995,0.11822,10.850999999999999,0.0355061,57285.49,0.36,0.21073000000000003,0.06362999999999999,2.5718099999999997,0.17325
156,PTSS-16efw,0.03557,2e-05,0.035769999999999996,2e-05,35.88776,0.03038,35.98802,0.1267,10.739,0.17693,57509.1,0.38,0.13823,0.07326,0.23886,0.16615
